x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	
4.54545	0.8844	0.8688	0.7756	4.54545	0.8281	0.82115	0.51595	4.54545	0.79855	0.78545	0.43335	4.54545	0.7569	0.73225	0.41795	4.54545	0.7017	0.70445	0.4054	4.54545	0.85235	0.7995	0.0828	4.54545	0.88515	0.8148	0.0605	4.54545	0.93955	0.851	0.0928	4.54545	0.9486	0.81685	0.12585	4.54545	0.9832	0.88585	0.16025	1.81818	0.9896	0.99105	0.3225	1.81818	0.96155	0.9929	0.25035	1.81818	0.9899	0.9883	0.17555	1.81818	0.9941	0.9926	0.13075	1.81818	0.69465	0.98895	0.10995	
4.69697	0.8885	0.87175	0.7903	4.69697	0.8336	0.8267	0.54835	4.69697	0.8036	0.79425	0.45085	4.69697	0.7682	0.74385	0.4338	4.69697	0.71405	0.71495	0.4214	4.69697	0.8579	0.806	0.08665	4.69697	0.8923	0.82075	0.063	4.69697	0.94575	0.85815	0.096	4.69697	0.9569	0.82705	0.1299	4.69697	0.9869	0.89205	0.16465	1.87879	0.99	0.9915	0.33335	1.87879	0.96375	0.99355	0.2588	1.87879	0.9915	0.989	0.1811	1.87879	0.995	0.9933	0.13535	1.87879	0.7146	0.9897	0.1128	
4.84848	0.893	0.87505	0.80215	4.84848	0.84025	0.83345	0.58635	4.84848	0.80705	0.80055	0.46815	4.84848	0.7726	0.7531	0.45335	4.84848	0.7215	0.72385	0.44215	4.84848	0.86445	0.8117	0.09075	4.84848	0.899	0.8277	0.06595	4.84848	0.95085	0.8649	0.0999	4.84848	0.96805	0.83565	0.135	4.84848	0.99005	0.89835	0.16995	1.93939	0.99065	0.99205	0.3434	1.93939	0.966	0.9942	0.2669	1.93939	0.9931	0.98965	0.18765	1.93939	0.9959	0.99385	0.13985	1.93939	0.73395	0.99035	0.116	
5	0.89825	0.87845	0.81235	5	0.85095	0.83915	0.6199	5	0.8193	0.8079	0.48755	5	0.7783	0.7609	0.4687	5	0.7307	0.73005	0.461	5	0.87085	0.81745	0.095	5	0.9058	0.834	0.0686	5	0.9549	0.8707	0.10365	5	0.97465	0.84285	0.139	5	0.99245	0.90715	0.17505	2	0.9911	0.9925	0.3535	2	0.9676	0.9947	0.2759	2	0.99445	0.9904	0.19225	2	0.99645	0.99425	0.1464	2	0.75205	0.9908	0.12005	
5.15152	0.901	0.8823	0.8211	5.15152	0.86335	0.8422	0.6518	5.15152	0.825	0.81555	0.51095	5.15152	0.78665	0.7679	0.48535	5.15152	0.74385	0.73915	0.4752	5.15152	0.876	0.8225	0.10005	5.15152	0.9123	0.8412	0.07145	5.15152	0.9573	0.87655	0.10775	5.15152	0.9774	0.8505	0.14335	5.15152	0.9938	0.9141	0.17915	2.06061	0.9916	0.99285	0.36295	2.06061	0.9694	0.99505	0.2846	2.06061	0.9954	0.991	0.19645	2.06061	0.99685	0.99475	0.1514	2.06061	0.76625	0.99145	0.12515	
5.30303	0.9032	0.88625	0.82855	5.30303	0.86815	0.84635	0.67675	5.30303	0.82975	0.8243	0.53945	5.30303	0.79235	0.77735	0.49545	5.30303	0.7555	0.7528	0.49005	5.30303	0.8814	0.8269	0.106	5.30303	0.91845	0.84695	0.075	5.30303	0.9591	0.88125	0.11075	5.30303	0.9803	0.8585	0.14895	5.30303	0.9951	0.91845	0.18305	2.12121	0.99185	0.9933	0.37225	2.12121	0.97095	0.99525	0.2936	2.12121	0.9965	0.99165	0.2014	2.12121	0.9971	0.99525	0.1554	2.12121	0.77785	0.992	0.1301	
5.45455	0.90525	0.89045	0.8353	5.45455	0.87355	0.8526	0.70005	5.45455	0.83645	0.83445	0.5648	5.45455	0.8043	0.7832	0.505	5.45455	0.76665	0.7627	0.5051	5.45455	0.88675	0.8318	0.11095	5.45455	0.9242	0.85235	0.07695	5.45455	0.96135	0.88585	0.1138	5.45455	0.9849	0.86655	0.15495	5.45455	0.99625	0.92225	0.1866	2.18182	0.9924	0.99375	0.382	2.18182	0.97235	0.9956	0.30225	2.18182	0.99725	0.9922	0.2065	2.18182	0.99725	0.9957	0.1592	2.18182	0.7882	0.9926	0.13385	
5.60606	0.90765	0.89575	0.84155	5.60606	0.88355	0.85845	0.7223	5.60606	0.8482	0.84065	0.5939	5.60606	0.81075	0.7889	0.5156	5.60606	0.77445	0.7704	0.5169	5.60606	0.8917	0.8357	0.11625	5.60606	0.92945	0.85825	0.0793	5.60606	0.96345	0.8907	0.1172	5.60606	0.98755	0.875	0.16025	5.60606	0.9973	0.9257	0.19005	2.24242	0.9927	0.9941	0.39095	2.24242	0.9739	0.99595	0.31055	2.24242	0.9977	0.99265	0.21235	2.24242	0.9975	0.9962	0.1643	2.24242	0.80595	0.9931	0.13615	
5.75758	0.9097	0.90065	0.8475	5.75758	0.88865	0.86455	0.7398	5.75758	0.855	0.84925	0.6225	5.75758	0.8228	0.79905	0.531	5.75758	0.7877	0.77675	0.5291	5.75758	0.89695	0.8398	0.1207	5.75758	0.9342	0.8636	0.08255	5.75758	0.967	0.8953	0.1203	5.75758	0.98955	0.88255	0.1658	5.75758	0.9977	0.9295	0.19435	2.30303	0.99295	0.99445	0.40215	2.30303	0.97525	0.99615	0.31815	2.30303	0.99805	0.99315	0.2197	2.30303	0.9977	0.9966	0.17015	2.30303	0.815	0.99355	0.14	
5.90909	0.9117	0.9035	0.8528	5.90909	0.89525	0.8683	0.75425	5.90909	0.8587	0.857	0.65215	5.90909	0.82835	0.8041	0.54715	5.90909	0.7971	0.7809	0.5373	5.90909	0.9022	0.84325	0.1258	5.90909	0.9403	0.86795	0.0869	5.90909	0.9696	0.9004	0.12355	5.90909	0.99145	0.88845	0.17165	5.90909	0.99795	0.93585	0.20095	2.36364	0.9934	0.99475	0.4142	2.36364	0.97655	0.99645	0.3276	2.36364	0.99825	0.99345	0.2261	2.36364	0.99775	0.997	0.17625	2.36364	0.8227	0.99405	0.14405	
6.06061	0.91605	0.90635	0.85825	6.06061	0.8983	0.87085	0.7688	6.06061	0.86305	0.85955	0.67825	6.06061	0.83045	0.8098	0.5667	6.06061	0.80745	0.78625	0.55065	6.06061	0.9064	0.84625	0.13055	6.06061	0.94515	0.8723	0.09045	6.06061	0.9725	0.905	0.1271	6.06061	0.9921	0.8952	0.17775	6.06061	0.9982	0.9407	0.20585	2.42424	0.9936	0.99495	0.4233	2.42424	0.97775	0.9967	0.3368	2.42424	0.9985	0.9938	0.23335	2.42424	0.99795	0.9973	0.17995	2.42424	0.83105	0.99445	0.14775	
6.21212	0.91955	0.9088	0.8636	6.21212	0.9018	0.87415	0.783	6.21212	0.8656	0.8632	0.7033	6.21212	0.8389	0.8147	0.5894	6.21212	0.8205	0.7959	0.56305	6.21212	0.91095	0.84985	0.1358	6.21212	0.949	0.8765	0.09695	6.21212	0.975	0.9093	0.132	6.21212	0.9941	0.9021	0.1826	6.21212	0.99845	0.94505	0.21255	2.48485	0.99385	0.99525	0.43315	2.48485	0.98015	0.9969	0.34285	2.48485	0.9987	0.9941	0.2408	2.48485	0.9981	0.99755	0.1832	2.48485	0.84005	0.99485	0.1519	
6.36364	0.92315	0.9112	0.869	6.36364	0.90465	0.87885	0.79455	6.36364	0.86745	0.8689	0.72405	6.36364	0.84535	0.8236	0.6125	6.36364	0.82715	0.8041	0.57915	6.36364	0.91475	0.85255	0.1426	6.36364	0.9521	0.8802	0.1003	6.36364	0.9762	0.91305	0.1395	6.36364	0.99545	0.9069	0.1871	6.36364	0.99865	0.94905	0.218	2.54545	0.99425	0.99545	0.4426	2.54545	0.9824	0.99725	0.34945	2.54545	0.9988	0.99445	0.2474	2.54545	0.9982	0.99785	0.18645	2.54545	0.84735	0.9952	0.15715	
6.51515	0.92675	0.9138	0.8748	6.51515	0.90915	0.8841	0.80535	6.51515	0.8704	0.87235	0.74455	6.51515	0.85405	0.82905	0.6345	6.51515	0.8312	0.80965	0.6007	6.51515	0.9188	0.8555	0.14745	6.51515	0.9552	0.8843	0.1045	6.51515	0.9779	0.91725	0.1433	6.51515	0.99615	0.91085	0.19085	6.51515	0.9988	0.95265	0.22405	2.60606	0.9944	0.9957	0.45135	2.60606	0.98415	0.9973	0.356	2.60606	0.99895	0.99475	0.2543	2.60606	0.9984	0.9981	0.18995	2.60606	0.854	0.99555	0.15985	
