x,y,z,1,2,3,4,5,6,7,8,9,10,11
70,30,50,0.024568879,0.025452852,0.01231323,0.014696475,0.016073958,0.045489106,0.037517099,0.016083596,0.062593211,0.071214827,0.031702787
70,30,55,0.039274761,0.040158734,0.027019112,0.029402357,0.03077984,0.060194988,0.052222981,0.030789478,0.077299094,0.085920709,0.046408669
75,30,50,0.025000155,0.025000155,0.012249265,0.015369312,0.015369312,0.046114312,0.038426189,0.016866186,0.06168412,0.070689559,0.030905285
75,30,55,0.039706037,0.039706037,0.026955148,0.030075194,0.030075194,0.060820195,0.053132072,0.031572068,0.076390003,0.085395441,0.045611168
80,30,50,0.025452852,0.024568879,0.01231323,0.016073958,0.014696475,0.046747567,0.03933528,0.017663688,0.060796926,0.070190287,0.030117481
80,30,55,0.040158734,0.039274761,0.027019112,0.03077984,0.029402357,0.06145345,0.054041163,0.03236957,0.075502808,0.084896169,0.044823363
85,30,50,0.025894839,0.024187196,0.01238379,0.01681674,0.014023638,0.047390113,0.040244371,0.018467699,0.059909732,0.069733107,0.029349072
85,30,55,0.040600721,0.038893078,0.027089672,0.031522622,0.02872952,0.062095996,0.054950254,0.033173581,0.074615614,0.084438989,0.044054954
90,30,50,0.026385431,0.023805512,0.012560743,0.017559522,0.013360853,0.048068541,0.041153462,0.019265201,0.059035376,0.069295321,0.028606659
90,30,55,0.041091313,0.038511395,0.027266625,0.032265404,0.028066735,0.062774423,0.055859345,0.033971083,0.073741258,0.084001204,0.043312542
95,30,50,0.026883548,0.023497811,0.012778794,0.018323993,0.012778794,0.048753156,0.042062553,0.020095227,0.058161896,0.068898911,0.02788002
95,30,55,0.04158943,0.038203693,0.027484676,0.033029876,0.027484676,0.063459039,0.056768435,0.034801109,0.071662763,0.083604793,0.042585903
100,30,50,0.027442489,0.023229763,0.013077423,0.019088465,0.012196734,0.049431584,0.042971644,0.020925253,0.057288416,0.068502501,0.027201593
100,30,55,0.030567489,0.026354763,0.016202423,0.022213465,0.015321734,0.052556584,0.046096644,0.024050253,0.056956881,0.071627501,0.030326593
55,35,50,0.022729099,0.026239726,0.012196734,0.013077423,0.018536476,0.043029061,0.034981433,0.013303666,0.065432398,0.072317739,0.033799587
50,35,50,0.022441459,0.026798667,0.012518481,0.012518481,0.019300947,0.042462531,0.034072342,0.012518481,0.066319593,0.072996166,0.034653579
55,35,55,0.037434981,0.040945608,0.026902617,0.027783305,0.033242358,0.056811118,0.048115767,0.026902617,0.080138281,0.087023621,0.04850547
50,35,55,0.022823142,0.027440494,0.013303666,0.013192715,0.020210038,0.042105236,0.033409885,0.012196734,0.067228684,0.073674594,0.03556267
60,35,50,0.023036801,0.025680785,0.01198995,0.013636364,0.017772005,0.04359559,0.035890524,0.014050807,0.064545204,0.071710518,0.032957579
60,35,55,0.037742683,0.040386667,0.026695832,0.028342246,0.032477887,0.058301473,0.050596406,0.028756689,0.079251086,0.0864164,0.047663461
65,35,50,0.023418484,0.02518643,0.011783165,0.014280185,0.017007534,0.044203457,0.036755533,0.014843094,0.063658009,0.071103296,0.032127552
